index,Order ID,Date,Status,Fulfilment,Sales Channel,Service-level,Category,Size,Courier Status,Qty,Currency,Amount,City,State,Postal-Code,Country,B2B,fulfilled-by
7953,171-6068983-2793156,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1112.0,THANE,MAHARASHTRA,401107,IN,False,Easy Ship
7954,405-3120424-9504347,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,518.0,RAIGARH,MAHARASHTRA,410210,IN,False,Easy Ship
7955,406-2857292-8193966,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,399.0,BIJPUR,UTTAR PRADESH,231223,IN,False,Easy Ship
7956,407-9061824-0634739,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Blazzer,L,Shipped,1,INR,721.0,COIMBATORE,TAMIL NADU,641046,IN,False,Easy Ship
7957,408-7895539-5456358,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XS,Shipped,1,INR,487.0,DHARAMSALA,HIMACHAL PRADESH,176215,IN,False,Easy Ship
7958,408-8945853-0888367,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,XL,Unshipped,1,INR,1186.0,MUMBAI,MAHARASHTRA,400008,IN,False,Easy Ship
7959,406-9003635-1472318,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1186.0,THANE,MAHARASHTRA,401107,IN,False,Easy Ship
7960,402-9944072-0311564,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XL,Cancelled,0,INR,623.2403721475794,Bengaluru,KARNATAKA,560043,IN,False,Easy Ship
7961,408-9951669-6229963,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,0.0,SOHNA,HARYANA,122102,IN,False,Easy Ship
7962,171-2828313-0530740,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,788.0,GANJAM,ODISHA,761008,IN,False,Easy Ship
7963,408-3097847-6743528,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,L,Unshipped,1,INR,1112.0,NAVI MUMBAI,MAHARASHTRA,400705,IN,False,Easy Ship
