Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Lower middle income,LMC,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lower middle income,LMC,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.56344551672578,2.18834087512858,4.16069852954566,5.52295974229738,7.50038009394221,10.3848536904943,41.8707902526766,151.156995849192,200.770741078241,315.911075156114,381.661118453715,442.103521385367,575.812791000842,719.550058072678
Middle East & North Africa,MEA,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00207254077112048,0.00402083314504837,0.00582024347525066,0.00825595330035451,0.0135111512086321,0.0317698780581613,0.0855682555655811,0.233500279876253,0.498478320200518,0.941980080601395,1.71931141420424,2.07318303296278,3.75301068142779,5.1131435384456,8.40917804583676,9.8,11.8,15.1,18.8,21.7,24.9,27.8,31.2,35.2,39.9,44.1,48.2,54.8,58.1,63.4,69.8,72.6,75.5,77.7
Middle East & North Africa,MEA,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.7,65.2,68.9,72.4,..
Middle East & North Africa,MEA,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.1,74,76,78.4,..
Middle East & North Africa,MEA,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa,MEA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.0002807713262,22.8864858114368,35.123793651707,39.6780852485145,46.7531645176295,62.9277765491796,104.149874356152,298.702572057639,406.995093307216,542.349714035695,809.960893562478,1001.38163314456,1610.79886210029,1639.66825695115
Middle East & North Africa (excluding high income),MNA,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0.000242605318778348,0.00199441193805961,0.011323049428452,0.0268616967123388,0.0800187047906458,0.170264117237799,0.438810677556282,0.866551053730684,1.15423212620878,2.81666967224379,4.04131367825525,7.48922771790551,8.59027822194735,9.95697276320198,11.959699164879,15.0542254232596,17.7445323904726,20.6677707641267,22.9573800345821,25.9366097486706,29.6391611188699,34.5356975674316,38.9597159412621,42.9959163354892,50.8059816830545,54.1856207681756,62.2591271206562,64.480264370234,69.1275002897689,72.6845899636948,..
Middle East & North Africa (excluding high income),MNA,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
